,time,velocity,parentFolder,file,algorithm,delx,delt,numLines,pntsPerLine,cleanVelocity,absVelocity
0,0.010313699999999999,0.12836404985207853,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
1,0.014897566666666666,0.09513980783953628,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
2,0.019481433333333333,,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
3,0.024065299999999998,0.054469714675380476,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
4,0.028649166666666663,0.10579713585645277,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
5,0.03323303333333333,0.16183385001299175,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
6,0.037816899999999994,0.1487508097081618,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
7,0.04240076666666666,0.15886496983727674,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
8,0.04698463333333333,0.1336441178649844,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
9,0.051568499999999996,0.16942134031568773,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
10,0.05615236666666666,0.19207037487003117,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
11,0.06073623333333333,0.15159816678119004,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
12,0.06532009999999999,0.11311953642679443,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
13,0.06990396666666666,,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
14,0.07448783333333332,,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
15,0.0790717,0.1972261134694601,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
16,0.08365556666666665,0.346053612273407,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
17,0.08823943333333333,0.22295699852533182,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
18,0.09282329999999998,0.15447892510591285,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
19,0.09740716666666666,,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
20,0.10199103333333333,,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
21,0.10657489999999999,,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
22,0.11115876666666666,,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
23,0.11574263333333332,,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
24,0.12032649999999999,,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
25,0.12491036666666665,,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
26,0.12949423333333332,,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
27,0.13407809999999998,,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
28,0.13866196666666666,,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
29,0.14324583333333332,,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
30,0.14782969999999998,,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
31,0.15241356666666664,,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
32,0.15699743333333332,,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
33,0.16158129999999998,,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
34,0.16616516666666664,,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
35,0.1707490333333333,,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
36,0.17533289999999999,,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
37,0.17991676666666664,,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
38,0.1845006333333333,,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
39,0.1890845,,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
40,0.19366836666666665,,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
41,0.1982522333333333,0.327050046167229,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
42,0.20283609999999996,,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
43,0.20741996666666665,,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
44,0.2120038333333333,,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,,
45,0.21658769999999997,0.6233550676792824,20251204,20251204_A117_0004.tif,mpRadon,0.26,0.0011459666666666665,30000,26,0.6233550676792824,0.6233550676792824
