file,roi_id,valid_frac,lomb_bpm,lomb_hz,lomb_snr,welch_bpm,welch_hz,welch_snr,agree_delta_bpm,agree_ok,status,status_note,rel_path
20251014_A98_0002_kymanalysis.csv,1,0.4665866346538615,437.2602739726027,7.287671232876712,19.784282730576884,449.9286413174706,7.498810688624509,2.114949784471664,12.668367344867875,True,ok,,20251014/20251014_A98_0002.tif
20251014_A98_0002_kymanalysis.csv,2,1.0,447.12328767123284,7.4520547945205475,147.25969980240495,449.94764937093424,7.499127489515571,10.955315979624721,2.8243616997013987,True,ok,,20251014/20251014_A98_0002.tif
20251014_A98_0003_kymanalysis.csv,1,0.7985861011071095,437.9647749510763,7.299412915851272,168.5194118151537,449.9286413174706,7.498810688624509,6.441275333749915,11.963866366394257,True,ok,,20251014/20251014_A98_0003.tif
20251014_A98_0003_kymanalysis.csv,2,0.9551820728291317,437.9647749510763,7.299412915851272,84.25052491228644,449.94764937093424,7.499127489515571,2.9176083613617694,11.982874419857922,True,ok,,20251014/20251014_A98_0003.tif
20251014_A98_0004_kymanalysis.csv,1,0.8826197145524877,435.8512720156556,7.2641878669275926,208.01908144465375,449.9286413174816,7.498810688624694,7.780469090453827,14.077369301826025,True,ok,,20251014/20251014_A98_0004.tif
20251014_A98_0004_kymanalysis.csv,2,0.959983993597439,435.8512720156556,7.2641878669275926,142.3176754043532,449.94764937093424,7.499127489515571,5.848475822257416,14.096377355278662,True,ok,,20251014/20251014_A98_0004.tif
20251014_A98_0005_kymanalysis.csv,1,0.8872882486327864,439.37377690802344,7.322896281800391,24.151004191475092,450.32291154910905,7.505381859151817,1.812290180789803,10.949134641085607,True,ok,,20251014/20251014_A98_0005.tif
20251014_A98_0005_kymanalysis.csv,2,0.9259703881552621,439.37377690802344,7.322896281800391,15.71667491853021,450.32596340773244,7.505432723462207,1.9347331134367427,10.952186499709,True,ok,,20251014/20251014_A98_0005.tif
20251014_A98_0006_kymanalysis.csv,1,0.9397092170201414,435.8512720156556,7.2641878669275926,791.0609257922602,450.38970720065447,7.506495120010908,30.44648899155705,14.538435184998889,True,ok,,20251014/20251014_A98_0006.tif
20251014_A98_0006_kymanalysis.csv,2,0.998265973055889,435.8512720156556,7.2641878669275926,705.6660714710082,450.3876446240169,7.506460743733615,25.891988357279917,14.536372608361319,True,ok,,20251014/20251014_A98_0006.tif
20251014_A98_0007_kymanalysis.csv,1,0.8091236494597839,428.1017612524462,7.135029354207436,138.82968079741937,419.93339856298286,6.998889976049714,8.772105242762214,8.168362689463322,True,ok,,20251014/20251014_A98_0007.tif
20251014_A98_0007_kymanalysis.csv,2,0.9550486861411231,428.1017612524462,7.135029354207436,103.12153469710863,419.95113941287195,6.999185656881199,7.169243692073301,8.150621839574228,True,ok,,20251014/20251014_A98_0007.tif
20251014_A98_0008_kymanalysis.csv,1,0.5420835000666934,430.91976516634054,7.181996086105675,38.835206372105915,420.05948042239464,7.000991340373244,1.8297610156842083,10.860284743945897,True,ok,,20251014/20251014_A98_0008.tif
20251014_A98_0008_kymanalysis.csv,2,0.9210350806989462,430.91976516634054,7.181996086105675,9.46421368967866,450.0776901835663,7.501294836392772,1.6607676468174601,19.15792501722575,True,ok,,20251014/20251014_A98_0008.tif
20251014_A98_0009_kymanalysis.csv,1,0.5558223289315727,431.6242661448141,7.193737769080235,31.764771432135998,300.33320968504336,5.005553494750723,1.5904046352282888,131.29105645977074,False,method_disagree,abs delta bpm 131.3 > tol 30.0,20251014/20251014_A98_0009.tif
20251014_A98_0009_kymanalysis.csv,2,0.9091636654661864,431.6242661448141,7.193737769080235,62.47689750466214,420.45972545168905,7.007662090861484,3.2147200814587498,11.164540693125048,True,ok,,20251014/20251014_A98_0009.tif
20251014_A98_0010_kymanalysis.csv,1,0.8123249299719888,432.32876712328766,7.205479452054794,106.6739269265503,419.6666727507329,6.994444545845549,6.498059122557585,12.662094372554748,True,ok,,20251014/20251014_A98_0010.tif
20251014_A98_0010_kymanalysis.csv,2,0.8297985861011071,432.32876712328766,7.205479452054794,105.11903949212982,419.6550153510736,6.9942502558512265,6.2793166059717525,12.673751772214075,True,ok,,20251014/20251014_A98_0010.tif
20251014_A98_0011_kymanalysis.csv,1,0.9289048952914499,437.2602739726027,7.287671232876712,147.44519629356148,450.4998145275651,7.5083302421260845,11.319185181035953,13.239540554962389,True,ok,,20251014/20251014_A98_0011.tif
20251014_A98_0011_kymanalysis.csv,2,0.9931972789115646,437.2602739726027,7.287671232876712,129.43674879744498,450.4925629839526,7.508209383065877,10.703858990075245,13.232289011349906,True,ok,,20251014/20251014_A98_0011.tif
20251014_A98_0012_kymanalysis.csv,1,0.9519807923169268,436.55577299412914,7.275929549902152,290.63560042449643,450.38970720065447,7.506495120010908,16.388158461769848,13.833934206525328,True,ok,,20251014/20251014_A98_0012.tif
20251014_A98_0012_kymanalysis.csv,2,0.9519807923169268,436.55577299412914,7.275929549902152,290.63008589134495,450.3876446240169,7.506460743733615,16.388361582465635,13.831871629887758,True,ok,,20251014/20251014_A98_0012.tif
20251014_A98_0013_kymanalysis.csv,1,0.9323729491796718,439.37377690802344,7.322896281800391,167.4274963735464,450.0637290239943,7.501062150399905,15.525591490513088,10.689952115970868,True,ok,,20251014/20251014_A98_0013.tif
20251014_A98_0013_kymanalysis.csv,2,0.9914632519674537,439.37377690802344,7.322896281800391,127.72170637348945,450.0776901835663,7.501294836392772,10.335758866755711,10.703913275542845,True,ok,,20251014/20251014_A98_0013.tif
20251014_A98_0014_kymanalysis.csv,1,0.4088301987461651,417.5342465753424,6.9589041095890405,9.154904451700519,300.0424860159962,5.000708100266603,1.6302244367014749,117.49176055934623,False,method_disagree,abs delta bpm 117.5 > tol 30.0,20251014/20251014_A98_0014.tif
20251014_A98_0014_kymanalysis.csv,2,1.0,445.0097847358121,7.416829745596869,15.663418547879564,450.0776901835663,7.501294836392772,1.5121452135779947,5.067905447754185,True,ok,,20251014/20251014_A98_0014.tif
20251014_A98_0015_kymanalysis.csv,1,0.9246365212751767,445.7142857142857,7.428571428571429,684.9142667881073,450.0637290239943,7.501062150399905,23.304604474376966,4.34944330970859,True,ok,,20251014/20251014_A98_0015.tif
20251014_A98_0015_kymanalysis.csv,2,0.9739895958383353,445.7142857142857,7.428571428571429,323.28025106889777,450.0776901835663,7.501294836392772,12.345482315104514,4.363404469280567,True,ok,,20251014/20251014_A98_0015.tif
20251014_A98_0016_kymanalysis.csv,1,0.9622515672935841,444.30528375733854,7.405088062622309,72.36878402457955,449.78814978149563,7.496469163024927,5.686695587328162,5.48286602415709,True,ok,,20251014/20251014_A98_0016.tif
20251014_A98_0016_kymanalysis.csv,2,0.9866613311991463,441.4872798434442,7.35812133072407,54.89065590389343,449.770412813703,7.49617354689505,5.192137412208228,8.283132970258805,True,ok,,20251014/20251014_A98_0016.tif
20251014_A98_0017_kymanalysis.csv,1,0.7366946778711485,449.23679060665364,7.487279843444227,44.159754744070774,449.8367992092493,7.497279986820821,4.01099332717358,0.6000086025956648,True,ok,,20251014/20251014_A98_0017.tif
20251014_A98_0017_kymanalysis.csv,2,0.9119647859143657,449.23679060665364,7.487279843444227,47.58299001762281,449.8138244630652,7.49689707438442,3.5869054342419955,0.5770338564115605,True,ok,,20251014/20251014_A98_0017.tif
20251015_A99_0002_kymanalysis.csv,1,0.9397092170201414,429.51076320939336,7.158512720156556,217.7064658734771,420.05948042239464,7.000991340373244,20.319593265753607,9.451282786998718,True,ok,,20251015/20251015_A99_0002.tif
20251015_A99_0002_kymanalysis.csv,2,0.9797252234227024,429.51076320939336,7.158512720156556,215.09948935228584,420.0725108379952,7.001208513966587,20.61380042352575,9.438252371398164,True,ok,,20251015/20251015_A99_0002.tif
20251015_A99_0003_kymanalysis.csv,1,0.6025076697345605,430.91976516634054,7.181996086105675,191.74317187862516,420.05948042239464,7.000991340373244,7.331144737543425,10.860284743945897,True,ok,,20251015/20251015_A99_0003.tif
20251015_A99_0003_kymanalysis.csv,2,0.9933306655995732,430.91976516634054,7.181996086105675,141.63256050909186,420.0725108379952,7.001208513966587,8.613468195814022,10.847254328345343,True,ok,,20251015/20251015_A99_0003.tif
20251015_A99_0004_kymanalysis.csv,1,0.8255302120848339,425.98825831702544,7.099804305283757,56.41733869514937,419.93339856298286,6.998889976049714,4.6944655888406395,6.054859754042582,True,ok,,20251015/20251015_A99_0004.tif
20251015_A99_0004_kymanalysis.csv,2,0.9319727891156463,425.98825831702544,7.099804305283757,22.314464254701566,419.95113941287195,6.999185656881199,2.7381149338242126,6.037118904153488,True,ok,,20251015/20251015_A99_0004.tif
20251015_A99_0005_kymanalysis.csv,1,0.9222355608910231,424.57925636007826,7.076320939334638,164.79831995334675,419.93339856298286,6.998889976049714,14.84100915313535,4.6458577970954025,True,ok,,20251015/20251015_A99_0005.tif
20251015_A99_0005_kymanalysis.csv,2,0.9735894357743097,425.2837573385518,7.088062622309197,162.3023119406254,419.95113941287195,6.999185656881199,13.517828853385238,5.33261792567987,True,ok,,20251015/20251015_A99_0005.tif
